  File                                   |   mean  |  var
   ./output/vt_clads0_0.15_0.4_0.03.json | -259.14 |  0.50
   ./output/vt_clads0_0.15_0.4_0.12.json | -218.55 |  0.66
    ./output/vt_clads0_0.15_0.4_1.0.json | -164.37 |  0.51
  ./output/vt_clads0_0.15_0.65_0.03.json | -204.07 |  1.41
  ./output/vt_clads0_0.15_0.65_0.12.json | -167.38 |  0.11
   ./output/vt_clads0_0.15_0.65_1.0.json | -137.46 |  0.01
   ./output/vt_clads0_0.15_1.0_0.03.json | -161.10 |  0.06
   ./output/vt_clads0_0.15_1.0_0.12.json | -139.12 |  0.01
    ./output/vt_clads0_0.15_1.0_1.0.json | -164.51 |  0.40
    ./output/vt_clads0_0.6_0.4_0.03.json | -174.42 | 11.14
    ./output/vt_clads0_0.6_0.4_0.12.json | -155.09 |  1.10
     ./output/vt_clads0_0.6_0.4_1.0.json | -142.51 |  0.10
   ./output/vt_clads0_0.6_0.65_0.03.json | -152.57 |  0.27
   ./output/vt_clads0_0.6_0.65_0.12.json | -142.73 |  0.09
    ./output/vt_clads0_0.6_0.65_1.0.json | -138.33 |  0.01
    ./output/vt_clads0_0.6_1.0_0.03.json | -146.30 |  0.00
    ./output/vt_clads0_0.6_1.0_0.12.json | -141.52 |  0.01
     ./output/vt_clads0_0.6_1.0_1.0.json | -145.07 |  0.03
    ./output/vt_clads0_1.0_0.4_0.03.json | -153.64 |  0.34
    ./output/vt_clads0_1.0_0.4_0.12.json | -147.00 |  0.08
     ./output/vt_clads0_1.0_0.4_1.0.json | -142.77 |  0.03
   ./output/vt_clads0_1.0_0.65_0.03.json | -147.97 |  0.04
   ./output/vt_clads0_1.0_0.65_0.12.json | -143.85 |  0.02
    ./output/vt_clads0_1.0_0.65_1.0.json | -142.19 |  0.01
    ./output/vt_clads0_1.0_1.0_0.03.json | -148.13 |  0.01
    ./output/vt_clads0_1.0_1.0_0.12.json | -145.71 |  0.01
     ./output/vt_clads0_1.0_1.0_1.0.json | -146.88 |  0.01
