File                                           |   mean   |  var  |   sbc-mean   |  sbc-var
                  ./output/vt_ClaDS0_0.05.json | -144.831 | 0.007 | -144.831 | 0.007
                   ./output/vt_ClaDS0_0.1.json | -141.810 | 0.007 | -141.810 | 0.007
                  ./output/vt_ClaDS0_0.15.json | -140.437 | 0.026 | -140.437 | 0.026
                   ./output/vt_ClaDS0_0.2.json | -139.734 | 0.012 | -139.734 | 0.012
                  ./output/vt_ClaDS0_0.25.json | -139.170 | 0.008 | -139.170 | 0.008
                   ./output/vt_ClaDS0_0.3.json | -139.000 | 0.008 | -139.000 | 0.008
                  ./output/vt_ClaDS0_0.35.json | -138.862 | 0.008 | -138.862 | 0.008
                   ./output/vt_ClaDS0_0.4.json | -138.808 | 0.007 | -138.808 | 0.007
                  ./output/vt_ClaDS0_0.45.json | -138.746 | 0.009 | -138.746 | 0.009
                   ./output/vt_ClaDS0_0.5.json | -138.803 | 0.008 | -138.803 | 0.008
                  ./output/vt_ClaDS0_0.55.json | -138.845 | 0.004 | -138.845 | 0.004
                   ./output/vt_ClaDS0_0.6.json | -138.908 | 0.014 | -138.908 | 0.014
                  ./output/vt_ClaDS0_0.65.json | -139.024 | 0.009 | -139.024 | 0.009
                   ./output/vt_ClaDS0_0.7.json | -139.050 | 0.012 | -139.050 | 0.012
                  ./output/vt_ClaDS0_0.75.json | -139.185 | 0.014 | -139.185 | 0.014
                   ./output/vt_ClaDS0_0.8.json | -139.128 | 0.013 | -139.128 | 0.013
                  ./output/vt_ClaDS0_0.85.json | -139.395 | 0.008 | -139.395 | 0.008
                   ./output/vt_ClaDS0_0.9.json | -139.484 | 0.021 | -139.484 | 0.021
                  ./output/vt_ClaDS0_0.95.json | -139.519 | 0.034 | -139.519 | 0.034
                     ./output/vt_ClaDS0_1.json | -139.596 | 0.035 | -139.596 | 0.035
