"tree" "sigma" "alpha" "lambda" "likelihood_est"
"1" "phyjs.bisse_32" 0.05 1 0.05 31.7974902767986
"2" "phyjs.bisse_32" 0.05 1 0.1 45.5001556935969
"3" "phyjs.bisse_32" 0.05 1 0.15 50.5723589368417
"4" "phyjs.bisse_32" 0.05 1 0.2 52.1110711103952
"5" "phyjs.bisse_32" 0.05 1 0.25 51.7136276498215
"6" "phyjs.bisse_32" 0.05 1 0.3 50.0915243536402
"7" "phyjs.bisse_32" 0.05 1 0.35 47.6242947484579
"8" "phyjs.bisse_32" 0.05 1 0.4 44.5384865271936
"9" "phyjs.bisse_32" 0.05 1 0.45 40.9802275968851
"10" "phyjs.bisse_32" 0.05 1 0.5 37.0492930666199
"11" "phyjs.bisse_32" 0.05 1 0.55 32.8168484607496
"12" "phyjs.bisse_32" 0.05 1 0.6 28.3354397704385
"13" "phyjs.bisse_32" 0.05 1 0.65 23.6449710006446
"14" "phyjs.bisse_32" 0.05 1 0.7 18.7764601652563
"15" "phyjs.bisse_32" 0.05 1 0.75 13.7544963098647
"16" "phyjs.bisse_32" 0.05 1 0.8 8.5989019439919
"17" "phyjs.bisse_32" 0.05 1 0.85 3.32589059848493
"18" "phyjs.bisse_32" 0.05 1 0.9 -2.05110698631663
"19" "phyjs.bisse_32" 0.05 1 0.95 -7.52084034820831
"20" "phyjs.bisse_32" 0.05 1 1 -13.0737915165818
