"tree" "sigma" "alpha" "lambda" "likelihood_est"
"1" "phyjs.bisse_32" 0.15 0.4 0.03 -1205.57120099461
"2" "phyjs.bisse_32" 0.6 0.4 0.03 -207.05270701435
"3" "phyjs.bisse_32" 1 0.4 0.03 -192.453229261401
"4" "phyjs.bisse_32" 0.15 0.65 0.03 -304.484164542967
"5" "phyjs.bisse_32" 0.6 0.65 0.03 -150.734767236122
"6" "phyjs.bisse_32" 1 0.65 0.03 -172.178770941239
"7" "phyjs.bisse_32" 0.15 1 0.03 -48.8045403336039
"8" "phyjs.bisse_32" 0.6 1 0.03 -134.754790723037
"9" "phyjs.bisse_32" 1 1 0.03 -166.425979396529
"10" "phyjs.bisse_32" 0.15 0.4 0.12 -1176.74752016102
"11" "phyjs.bisse_32" 0.6 0.4 0.12 -178.229026180753
"12" "phyjs.bisse_32" 1 0.4 0.12 -163.629548427805
"13" "phyjs.bisse_32" 0.15 0.65 0.12 -275.66048370937
"14" "phyjs.bisse_32" 0.6 0.65 0.12 -121.911086402526
"15" "phyjs.bisse_32" 1 0.65 0.12 -143.355090107642
"16" "phyjs.bisse_32" 0.15 1 0.12 -19.9808595000072
"17" "phyjs.bisse_32" 0.6 1 0.12 -105.93110988944
"18" "phyjs.bisse_32" 1 1 0.12 -137.602298562932
"19" "phyjs.bisse_32" 0.15 0.4 1 -1237.95441407501
"20" "phyjs.bisse_32" 0.6 0.4 1 -239.43592009475
"21" "phyjs.bisse_32" 1 0.4 1 -224.836442341802
"22" "phyjs.bisse_32" 0.15 0.65 1 -336.867377623368
"23" "phyjs.bisse_32" 0.6 0.65 1 -183.117980316523
"24" "phyjs.bisse_32" 1 0.65 1 -204.561984021641
"25" "phyjs.bisse_32" 0.15 1 1 -81.1877534140046
"26" "phyjs.bisse_32" 0.6 1 1 -167.138003803438
"27" "phyjs.bisse_32" 1 1 1 -198.809192476929
