File                                         |   mean  |  var  |   mean_surv  |  var_surv
 ./output/vt_clads1_0.15_0.4_0.015_0.03.json | -259.04 |  0.69 | -259.03 |  0.69
 ./output/vt_clads1_0.15_0.4_0.015_0.12.json | -219.18 |  0.29 | -219.14 |  0.29
  ./output/vt_clads1_0.15_0.4_0.015_1.0.json | -166.46 |  0.27 | -166.38 |  0.27
 ./output/vt_clads1_0.15_0.4_0.025_0.03.json | -259.45 |  0.33 | -259.44 |  0.33
 ./output/vt_clads1_0.15_0.4_0.025_0.12.json | -218.73 |  0.60 | -218.67 |  0.60
  ./output/vt_clads1_0.15_0.4_0.025_1.0.json | -167.77 |  0.22 | -167.61 |  0.22
 ./output/vt_clads1_0.15_0.4_0.065_0.03.json | -259.32 |  1.41 | -259.27 |  1.41
 ./output/vt_clads1_0.15_0.4_0.065_0.12.json | -219.56 |  0.85 | -219.41 |  0.85
  ./output/vt_clads1_0.15_0.4_0.065_1.0.json | -172.59 |  0.28 | -172.05 |  0.28
./output/vt_clads1_0.15_0.65_0.015_0.03.json | -203.97 |  0.56 | -203.96 |  0.56
./output/vt_clads1_0.15_0.65_0.015_0.12.json | -167.14 |  0.18 | -167.11 |  0.18
 ./output/vt_clads1_0.15_0.65_0.015_1.0.json | -137.26 |  0.00 | -137.21 |  0.00
./output/vt_clads1_0.15_0.65_0.025_0.03.json | -203.99 |  0.27 | -203.97 |  0.27
./output/vt_clads1_0.15_0.65_0.025_0.12.json | -167.21 |  0.46 | -167.16 |  0.46
 ./output/vt_clads1_0.15_0.65_0.025_1.0.json | -137.35 |  0.02 | -137.27 |  0.02
./output/vt_clads1_0.15_0.65_0.065_0.03.json | -203.99 |  0.43 | -203.95 |  0.43
./output/vt_clads1_0.15_0.65_0.065_0.12.json | -167.92 |  0.12 | -167.79 |  0.12
 ./output/vt_clads1_0.15_0.65_0.065_1.0.json | -138.38 |  0.01 | -138.13 |  0.01
 ./output/vt_clads1_0.15_1.0_0.015_0.03.json | -160.98 |  0.74 | -160.97 |  0.74
 ./output/vt_clads1_0.15_1.0_0.015_0.12.json | -139.12 |  0.00 | -139.10 |  0.00
  ./output/vt_clads1_0.15_1.0_0.015_1.0.json | -162.08 |  0.36 | -162.05 |  0.36
 ./output/vt_clads1_0.15_1.0_0.025_0.03.json | -161.35 |  0.13 | -161.34 |  0.13
 ./output/vt_clads1_0.15_1.0_0.025_0.12.json | -139.19 |  0.01 | -139.15 |  0.01
  ./output/vt_clads1_0.15_1.0_0.025_1.0.json | -160.67 |  0.50 | -160.62 |  0.51
 ./output/vt_clads1_0.15_1.0_0.065_0.03.json | -161.21 |  0.08 | -161.17 |  0.08
 ./output/vt_clads1_0.15_1.0_0.065_0.12.json | -139.30 |  0.01 | -139.19 |  0.01
  ./output/vt_clads1_0.15_1.0_0.065_1.0.json | -156.80 |  1.32 | -156.66 |  1.33
  ./output/vt_clads1_0.6_0.4_0.015_0.03.json | -175.03 |  3.61 | -175.02 |  3.61
  ./output/vt_clads1_0.6_0.4_0.015_0.12.json | -156.04 |  1.42 | -156.00 |  1.42
   ./output/vt_clads1_0.6_0.4_0.015_1.0.json | -143.12 |  0.15 | -143.03 |  0.15
  ./output/vt_clads1_0.6_0.4_0.025_0.03.json | -174.38 |  2.14 | -174.36 |  2.14
  ./output/vt_clads1_0.6_0.4_0.025_0.12.json | -155.46 |  1.96 | -155.40 |  1.96
   ./output/vt_clads1_0.6_0.4_0.025_1.0.json | -143.76 |  0.20 | -143.59 |  0.20
  ./output/vt_clads1_0.6_0.4_0.065_0.03.json | -174.15 |  6.48 | -174.10 |  6.48
  ./output/vt_clads1_0.6_0.4_0.065_0.12.json | -156.79 |  1.28 | -156.64 |  1.28
   ./output/vt_clads1_0.6_0.4_0.065_1.0.json | -145.72 |  0.15 | -145.19 |  0.15
 ./output/vt_clads1_0.6_0.65_0.015_0.03.json | -152.93 |  0.20 | -152.92 |  0.20
 ./output/vt_clads1_0.6_0.65_0.015_0.12.json | -142.63 |  0.01 | -142.60 |  0.01
  ./output/vt_clads1_0.6_0.65_0.015_1.0.json | -138.46 |  0.02 | -138.41 |  0.02
 ./output/vt_clads1_0.6_0.65_0.025_0.03.json | -152.76 |  0.15 | -152.74 |  0.15
 ./output/vt_clads1_0.6_0.65_0.025_0.12.json | -142.77 |  0.04 | -142.72 |  0.04
  ./output/vt_clads1_0.6_0.65_0.025_1.0.json | -138.50 |  0.00 | -138.40 |  0.00
 ./output/vt_clads1_0.6_0.65_0.065_0.03.json | -152.83 |  0.30 | -152.79 |  0.30
 ./output/vt_clads1_0.6_0.65_0.065_0.12.json | -142.90 |  0.03 | -142.77 |  0.03
  ./output/vt_clads1_0.6_0.65_0.065_1.0.json | -138.87 |  0.02 | -138.58 |  0.02
  ./output/vt_clads1_0.6_1.0_0.015_0.03.json | -146.35 |  0.01 | -146.34 |  0.01
  ./output/vt_clads1_0.6_1.0_0.015_0.12.json | -141.56 |  0.01 | -141.54 |  0.01
   ./output/vt_clads1_0.6_1.0_0.015_1.0.json | -145.21 |  0.01 | -145.18 |  0.01
  ./output/vt_clads1_0.6_1.0_0.025_0.03.json | -146.30 |  0.01 | -146.28 |  0.01
  ./output/vt_clads1_0.6_1.0_0.025_0.12.json | -141.56 |  0.00 | -141.52 |  0.00
   ./output/vt_clads1_0.6_1.0_0.025_1.0.json | -145.35 |  0.01 | -145.29 |  0.01
  ./output/vt_clads1_0.6_1.0_0.065_0.03.json | -146.35 |  0.01 | -146.30 |  0.01
  ./output/vt_clads1_0.6_1.0_0.065_0.12.json | -141.74 |  0.01 | -141.64 |  0.01
   ./output/vt_clads1_0.6_1.0_0.065_1.0.json | -146.13 |  0.01 | -145.96 |  0.01
  ./output/vt_clads1_1.0_0.4_0.015_0.03.json | -153.50 |  0.34 | -153.49 |  0.33
  ./output/vt_clads1_1.0_0.4_0.015_0.12.json | -147.30 |  0.07 | -147.27 |  0.07
   ./output/vt_clads1_1.0_0.4_0.015_1.0.json | -142.97 |  0.04 | -142.87 |  0.04
  ./output/vt_clads1_1.0_0.4_0.025_0.03.json | -153.35 |  0.39 | -153.33 |  0.39
  ./output/vt_clads1_1.0_0.4_0.025_0.12.json | -147.31 |  0.10 | -147.25 |  0.10
   ./output/vt_clads1_1.0_0.4_0.025_1.0.json | -143.31 |  0.03 | -143.13 |  0.03
  ./output/vt_clads1_1.0_0.4_0.065_0.03.json | -153.77 |  0.08 | -153.72 |  0.08
  ./output/vt_clads1_1.0_0.4_0.065_0.12.json | -147.39 |  0.04 | -147.24 |  0.04
   ./output/vt_clads1_1.0_0.4_0.065_1.0.json | -144.19 |  0.05 | -143.65 |  0.04
 ./output/vt_clads1_1.0_0.65_0.015_0.03.json | -147.91 |  0.04 | -147.90 |  0.04
 ./output/vt_clads1_1.0_0.65_0.015_0.12.json | -143.81 |  0.02 | -143.78 |  0.02
  ./output/vt_clads1_1.0_0.65_0.015_1.0.json | -142.45 |  0.01 | -142.38 |  0.01
 ./output/vt_clads1_1.0_0.65_0.025_0.03.json | -147.95 |  0.04 | -147.93 |  0.04
 ./output/vt_clads1_1.0_0.65_0.025_0.12.json | -143.77 |  0.02 | -143.72 |  0.02
  ./output/vt_clads1_1.0_0.65_0.025_1.0.json | -142.69 |  0.01 | -142.57 |  0.01
 ./output/vt_clads1_1.0_0.65_0.065_0.03.json | -148.03 |  0.01 | -147.99 |  0.01
 ./output/vt_clads1_1.0_0.65_0.065_0.12.json | -143.99 |  0.01 | -143.87 |  0.01
  ./output/vt_clads1_1.0_0.65_0.065_1.0.json | -143.45 |  0.02 | -143.12 |  0.02
  ./output/vt_clads1_1.0_1.0_0.015_0.03.json | -148.18 |  0.01 | -148.17 |  0.01
  ./output/vt_clads1_1.0_1.0_0.015_0.12.json | -145.80 |  0.01 | -145.78 |  0.01
   ./output/vt_clads1_1.0_1.0_0.015_1.0.json | -147.42 |  0.01 | -147.38 |  0.01
  ./output/vt_clads1_1.0_1.0_0.025_0.03.json | -148.18 |  0.01 | -148.17 |  0.01
  ./output/vt_clads1_1.0_1.0_0.025_0.12.json | -145.84 |  0.01 | -145.81 |  0.01
   ./output/vt_clads1_1.0_1.0_0.025_1.0.json | -147.79 |  0.00 | -147.71 |  0.00
  ./output/vt_clads1_1.0_1.0_0.065_0.03.json | -148.26 |  0.01 | -148.22 |  0.01
  ./output/vt_clads1_1.0_1.0_0.065_0.12.json | -146.01 |  0.00 | -145.90 |  0.00
   ./output/vt_clads1_1.0_1.0_0.065_1.0.json | -149.39 |  0.01 | -149.18 |  0.01
