"sigma" "alpha" "epsilon" "lambda" "f" "likelihood_est"
"1" 0.05 1 0 0.05 1 31.7951564120903
"2" 0.05 1 0.1 0.05 1 31.3661859803731
"3" 0.05 1 0.5 0.05 1 29.6235352333308
"4" 0.05 1 0.9 0.05 1 27.8394860969651
"5" 0.05 1 0 0.1 1 45.4997265756539
"6" 0.05 1 0.1 0.1 1 44.8760296954964
"7" 0.05 1 0.5 0.1 1 42.2501316986796
"8" 0.05 1 0.9 0.1 1 39.4112670916639
"9" 0.05 1 0 0.15 1 50.5662780019583
"10" 0.05 1 0.1 0.15 1 49.9013875744332
"11" 0.05 1 0.5 0.15 1 46.9715251595207
"12" 0.05 1 0.9 0.15 1 43.5534248537451
"13" 0.05 1 0 0.2 1 52.1010173103814
"14" 0.05 1 0.1 0.2 1 51.3904557688166
"15" 0.05 1 0.5 0.2 1 48.1878049982582
"16" 0.05 1 0.9 0.2 1 44.2236588689966
"17" 0.05 1 0 0.25 1 51.7053838351915
"18" 0.05 1 0.1 0.25 1 51.2586396384983
"19" 0.05 1 0.5 0.25 1 49.0236401290991
"20" 0.05 1 0.9 0.25 1 45.5330994427626
"21" 0.05 1 0 0.3 1 50.0866562607578
"22" 0.05 1 0.1 0.3 1 49.8386730041872
"23" 0.05 1 0.5 0.3 1 48.4135482092362
"24" 0.05 1 0.9 0.3 1 45.2908842304137
"25" 0.05 1 0 0.35 1 47.615999434831
"26" 0.05 1 0.1 0.35 1 47.6291254868263
"27" 0.05 1 0.5 0.35 1 47.3450663316297
"28" 0.05 1 0.9 0.35 1 44.8277400620129
"29" 0.05 1 0 0.4 1 44.5327923826044
"30" 0.05 1 0.1 0.4 1 44.8209945937804
"31" 0.05 1 0.5 0.4 1 45.766536606928
"32" 0.05 1 0.9 0.4 1 43.9655561227656
"33" 0.05 1 0 0.45 1 40.9779567851264
"34" 0.05 1 0.1 0.45 1 41.6324489137744
"35" 0.05 1 0.5 0.45 1 44.2720881326647
"36" 0.05 1 0.9 0.45 1 43.4042357842294
"37" 0.05 1 0 0.5 1 37.041364557701
"38" 0.05 1 0.1 0.5 1 38.1015267796664
"39" 0.05 1 0.5 0.5 1 42.4964022462915
"40" 0.05 1 0.9 0.5 1 42.5667181218251
"41" 0.05 1 0 0.55 1 32.8108376382966
"42" 0.05 1 0.1 0.55 1 34.227618289019
"43" 0.05 1 0.5 0.55 1 40.4339496596887
"44" 0.05 1 0.9 0.55 1 41.638142949357
"45" 0.05 1 0 0.6 1 28.3320599293652
"46" 0.05 1 0.1 0.6 1 30.0471748770446
"47" 0.05 1 0.5 0.6 1 38.0495053823553
"48" 0.05 1 0.9 0.6 1 40.5579794306662
"49" 0.05 1 0 0.65 1 23.6375541211654
"50" 0.05 1 0.1 0.65 1 25.6456214104303
"51" 0.05 1 0.5 0.65 1 35.1697267706623
"52" 0.05 1 0.9 0.65 1 38.9245353897412
"53" 0.05 1 0 0.7 1 18.768335163306
"54" 0.05 1 0.1 0.7 1 21.3623348683194
"55" 0.05 1 0.5 0.7 1 33.6014596001791
"56" 0.05 1 0.9 0.7 1 38.6632881355711
"57" 0.05 1 0 0.75 1 13.7467767626133
"58" 0.05 1 0.1 0.75 1 16.5059663503084
"59" 0.05 1 0.5 0.75 1 29.9302607957652
"60" 0.05 1 0.9 0.75 1 36.4736536397831
"61" 0.05 1 0 0.8 1 8.59454223848236
"62" 0.05 1 0.1 0.8 1 11.8807877749674
"63" 0.05 1 0.5 0.8 1 28.1512685316161
"64" 0.05 1 0.9 0.8 1 36.2700366136414
"65" 0.05 1 0 0.85 1 3.32456937042947
"66" 0.05 1 0.1 0.85 1 7.19877134838786
"67" 0.05 1 0.5 0.85 1 26.0616998292457
"68" 0.05 1 0.9 0.85 1 35.5514419833353
"69" 0.05 1 0 0.9 1 -2.05145771370742
"70" 0.05 1 0.1 0.9 1 2.42763252592063
"71" 0.05 1 0.5 0.9 1 23.7263302795318
"72" 0.05 1 0.9 0.9 1 34.53502313237
"73" 0.05 1 0 0.95 1 -7.52526922467052
"74" 0.05 1 0.1 0.95 1 -2.46526559150968
"75" 0.05 1 0.5 0.95 1 21.1996383948872
"76" 0.05 1 0.9 0.95 1 33.3857933068771
"77" 0.05 1 0 1 1 -13.073788102725
"78" 0.05 1 0.1 1 1 -8.89449680538912
"79" 0.05 1 0.5 1 1 14.2171009189262
"80" 0.05 1 0.9 1 1 27.8799121782218
