"sigma" "alpha" "epsilon" "lambda" "f" "likelihood_est"
"1" 0.15 0.4 0.015 0.03 1 -1433.37772581127
"2" 0.6 0.4 0.015 0.03 1 -441.448190524048
"3" 1 0.4 0.015 0.03 1 -420.151799051092
"4" 0.15 0.65 0.015 0.03 1 -582.027068702233
"5" 0.6 0.65 0.015 0.03 1 -391.807227404924
"6" 1 0.65 0.015 0.03 1 -402.546841784901
"7" 0.15 1 0.015 0.03 1 -335.993734471249
"8" 0.6 1 0.015 0.03 1 -380.333805005883
"9" 1 1 0.015 0.03 1 -399.375297761368
"10" 0.15 0.4 0.025 0.03 1 -1433.01559026449
"11" 0.6 0.4 0.025 0.03 1 -438.68569597118
"12" 1 0.4 0.025 0.03 1 -416.831577032631
"13" 0.15 0.65 0.025 0.03 1 -581.663525551064
"14" 0.6 0.65 0.025 0.03 1 -388.973828574697
"15" 1 0.65 0.025 0.03 1 -399.19144804054
"16" 0.15 1 0.025 0.03 1 -335.230986250358
"17" 0.6 1 0.025 0.03 1 -377.702657151257
"18" 1 1 0.025 0.03 1 -395.869932026652
"19" 0.15 0.4 0.065 0.03 1 -1416.13897225133
"20" 0.6 0.4 0.065 0.03 1 -433.96308102195
"21" 1 0.4 0.065 0.03 1 -409.061455578227
"22" 0.15 0.65 0.065 0.03 1 -579.145954118975
"23" 0.6 0.65 0.065 0.03 1 -385.514272107397
"24" 1 0.65 0.065 0.03 1 -391.283906981663
"25" 0.15 1 0.065 0.03 1 -335.576934332901
"26" 0.6 1 0.065 0.03 1 -374.137592315901
"27" 1 1 0.065 0.03 1 -388.010199774506
"28" 0.15 0.4 0.015 0.12 1 -1423.14803684945
"29" 0.6 0.4 0.015 0.12 1 -433.725366439153
"30" 1 0.4 0.015 0.12 1 -409.370093007408
"31" 0.15 0.65 0.015 0.12 1 -572.279257992185
"32" 0.6 0.65 0.015 0.12 1 -384.362809001155
"33" 1 0.65 0.015 0.12 1 -391.804768918056
"34" 0.15 1 0.015 0.12 1 -328.696126447421
"35" 0.6 1 0.015 0.12 1 -374.79639049816
"36" 1 1 0.015 0.12 1 -388.534943419122
"37" 0.15 0.4 0.025 0.12 1 -1410.92456390403
"38" 0.6 0.4 0.025 0.12 1 -430.193074264928
"39" 1 0.4 0.025 0.12 1 -404.561954376288
"40" 0.15 0.65 0.025 0.12 1 -573.181256054432
"41" 0.6 0.65 0.025 0.12 1 -381.641431685021
"42" 1 0.65 0.025 0.12 1 -386.899719616471
"43" 0.15 1 0.025 0.12 1 -328.76034196831
"44" 0.6 1 0.025 0.12 1 -371.196737093689
"45" 1 1 0.025 0.12 1 -383.803670523549
"46" 0.15 0.4 0.065 0.12 1 -1393.14274417973
"47" 0.6 0.4 0.065 0.12 1 -424.096671741687
"48" 1 0.4 0.065 0.12 1 -393.789441091111
"49" 0.15 0.65 0.065 0.12 1 -568.034108311631
"50" 0.6 0.65 0.065 0.12 1 -374.398048015682
"51" 1 0.65 0.065 0.12 1 -376.304662309295
"52" 0.15 1 0.065 0.12 1 -328.554244599967
"53" 0.6 1 0.065 0.12 1 -364.492841904998
"54" 1 1 0.065 0.12 1 -373.580299097051
"55" 0.15 0.4 0.015 1 1 -1352.08678654813
"56" 0.6 0.4 0.015 1 1 -429.880737850314
"57" 1 0.4 0.015 1 1 -411.731565826116
"58" 0.15 0.65 0.015 1 1 -538.614788680257
"59" 0.6 0.65 0.015 1 1 -376.622515143118
"60" 1 0.65 0.015 1 1 -393.000185336641
"61" 0.15 1 0.015 1 1 -294.250023886927
"62" 0.6 1 0.015 1 1 -363.676765250799
"63" 1 1 0.015 1 1 -388.673421612657
"64" 0.15 0.4 0.025 1 1 -1297.01171077539
"65" 0.6 0.4 0.025 1 1 -424.685338825875
"66" 1 0.4 0.025 1 1 -405.974754167794
"67" 0.15 0.65 0.025 1 1 -537.851695011192
"68" 0.6 0.65 0.025 1 1 -371.353247107853
"69" 1 0.65 0.025 1 1 -387.481496751213
"70" 0.15 1 0.025 1 1 -293.522573832082
"71" 0.6 1 0.025 1 1 -359.016393434102
"72" 1 1 0.025 1 1 -383.527454751156
"73" 0.15 0.4 0.065 1 1 -1323.43291646135
"74" 0.6 0.4 0.065 1 1 -411.87158246683
"75" 1 0.4 0.065 1 1 -392.700108256575
"76" 0.15 0.65 0.065 1 1 -533.679470134542
"77" 0.6 0.65 0.065 1 1 -359.165563828945
"78" 1 0.65 0.065 1 1 -375.504200286723
"79" 0.15 1 0.065 1 1 -292.506535376011
"80" 0.6 1 0.065 1 1 -349.046577925173
"81" 1 1 0.065 1 1 -372.775674217202
