File  |   clads2_birch_mean  |  clads2_birch_var  |   clads2_birch_surv_mean  |  clads2_birch_surv_var
 ./output/vt_clads2_0.15_0.4_0.015_0.03.json | -258.51 |  0.59 | -258.50 |  0.59
 ./output/vt_clads2_0.15_0.4_0.015_0.12.json | -218.46 |  0.61 | -218.44 |  0.61
  ./output/vt_clads2_0.15_0.4_0.015_1.0.json | -164.91 |  0.14 | -164.88 |  0.14
 ./output/vt_clads2_0.15_0.4_0.025_0.03.json | -258.97 |  0.46 | -258.96 |  0.46
 ./output/vt_clads2_0.15_0.4_0.025_0.12.json | -218.50 |  0.17 | -218.48 |  0.17
  ./output/vt_clads2_0.15_0.4_0.025_1.0.json | -164.85 |  0.14 | -164.80 |  0.14
 ./output/vt_clads2_0.15_0.4_0.065_0.03.json | -258.85 |  0.44 | -258.83 |  0.44
 ./output/vt_clads2_0.15_0.4_0.065_0.12.json | -218.22 |  0.78 | -218.16 |  0.78
  ./output/vt_clads2_0.15_0.4_0.065_1.0.json | -165.18 |  0.32 | -165.05 |  0.32
./output/vt_clads2_0.15_0.65_0.015_0.03.json | -203.73 |  0.58 | -203.72 |  0.58
./output/vt_clads2_0.15_0.65_0.015_0.12.json | -167.03 |  0.16 | -167.01 |  0.16
 ./output/vt_clads2_0.15_0.65_0.015_1.0.json | -137.41 |  0.00 | -137.38 |  0.00
./output/vt_clads2_0.15_0.65_0.025_0.03.json | -204.36 |  0.17 | -204.35 |  0.17
./output/vt_clads2_0.15_0.65_0.025_0.12.json | -166.96 |  0.97 | -166.93 |  0.97
 ./output/vt_clads2_0.15_0.65_0.025_1.0.json | -137.43 |  0.00 | -137.37 |  0.00
./output/vt_clads2_0.15_0.65_0.065_0.03.json | -204.10 |  0.37 | -204.08 |  0.37
./output/vt_clads2_0.15_0.65_0.065_0.12.json | -167.39 |  0.21 | -167.30 |  0.21
 ./output/vt_clads2_0.15_0.65_0.065_1.0.json | -137.57 |  0.01 | -137.43 |  0.01
 ./output/vt_clads2_0.15_1.0_0.015_0.03.json | -161.13 |  0.02 | -161.12 |  0.02
 ./output/vt_clads2_0.15_1.0_0.015_0.12.json | -139.20 |  0.00 | -139.18 |  0.00
  ./output/vt_clads2_0.15_1.0_0.015_1.0.json | -162.85 |  0.88 | -162.82 |  0.88
 ./output/vt_clads2_0.15_1.0_0.025_0.03.json | -161.21 |  0.04 | -161.19 |  0.04
 ./output/vt_clads2_0.15_1.0_0.025_0.12.json | -139.21 |  0.00 | -139.17 |  0.00
  ./output/vt_clads2_0.15_1.0_0.025_1.0.json | -161.92 |  0.56 | -161.87 |  0.55
 ./output/vt_clads2_0.15_1.0_0.065_0.03.json | -161.47 |  0.23 | -161.43 |  0.23
 ./output/vt_clads2_0.15_1.0_0.065_0.12.json | -139.34 |  0.01 | -139.24 |  0.01
