File                                         |   clads2_panda_birch_mean  |  clads2_panda_birch_var  |   clads2_panda_birch_surv_mean  |  clads2_panda_birch_surv_var
 ./output/vt_clads2_0.15_0.4_0.015_0.03.json | -258.96 |  1.00 | -258.96 |  1.00
 ./output/vt_clads2_0.15_0.4_0.015_0.12.json | -218.53 |  0.85 | -218.52 |  0.85
  ./output/vt_clads2_0.15_0.4_0.015_1.0.json | -165.23 |  0.08 | -165.20 |  0.08
 ./output/vt_clads2_0.15_0.4_0.025_0.03.json | -259.17 |  1.79 | -259.16 |  1.80
 ./output/vt_clads2_0.15_0.4_0.025_0.12.json | -218.46 |  0.20 | -218.43 |  0.20
  ./output/vt_clads2_0.15_0.4_0.025_1.0.json | -164.85 |  0.64 | -164.80 |  0.64
 ./output/vt_clads2_0.15_0.4_0.065_0.03.json | -258.87 |  0.31 | -258.86 |  0.31
 ./output/vt_clads2_0.15_0.4_0.065_0.12.json | -218.47 |  1.29 | -218.41 |  1.29
  ./output/vt_clads2_0.15_0.4_0.065_1.0.json | -165.30 |  0.38 | -165.16 |  0.39
./output/vt_clads2_0.15_0.65_0.015_0.03.json | -203.73 |  0.67 | -203.72 |  0.67
./output/vt_clads2_0.15_0.65_0.015_0.12.json | -167.24 |  0.28 | -167.22 |  0.28
 ./output/vt_clads2_0.15_0.65_0.015_1.0.json | -137.45 |  0.01 | -137.42 |  0.01
./output/vt_clads2_0.15_0.65_0.025_0.03.json | -204.05 |  0.29 | -204.03 |  0.28
./output/vt_clads2_0.15_0.65_0.025_0.12.json | -166.86 |  0.29 | -166.83 |  0.29
 ./output/vt_clads2_0.15_0.65_0.025_1.0.json | -137.36 |  0.01 | -137.31 |  0.01
./output/vt_clads2_0.15_0.65_0.065_0.03.json | -203.92 |  0.52 | -203.89 |  0.52
./output/vt_clads2_0.15_0.65_0.065_0.12.json | -167.35 |  0.39 | -167.26 |  0.39
 ./output/vt_clads2_0.15_0.65_0.065_1.0.json | -137.50 |  0.01 | -137.37 |  0.01
 ./output/vt_clads2_0.15_1.0_0.015_0.03.json | -161.29 |  0.13 | -161.28 |  0.13
 ./output/vt_clads2_0.15_1.0_0.015_0.12.json | -139.16 |  0.01 | -139.14 |  0.01
  ./output/vt_clads2_0.15_1.0_0.015_1.0.json | -162.92 |  0.41 | -162.89 |  0.41
 ./output/vt_clads2_0.15_1.0_0.025_0.03.json | -161.05 |  0.54 | -161.04 |  0.54
 ./output/vt_clads2_0.15_1.0_0.025_0.12.json | -139.25 |  0.01 | -139.21 |  0.01
  ./output/vt_clads2_0.15_1.0_0.025_1.0.json | -162.31 |  0.32 | -162.26 |  0.32
 ./output/vt_clads2_0.15_1.0_0.065_0.03.json | -161.29 |  0.03 | -161.25 |  0.03
 ./output/vt_clads2_0.15_1.0_0.065_0.12.json | -139.40 |  0.01 | -139.30 |  0.01
  ./output/vt_clads2_0.15_1.0_0.065_1.0.json | -159.63 |  0.75 | -159.49 |  0.75
  ./output/vt_clads2_0.6_0.4_0.015_0.03.json | -173.72 | 10.47 | -173.71 | 10.46
  ./output/vt_clads2_0.6_0.4_0.015_0.12.json | -155.61 |  1.19 | -155.59 |  1.19
   ./output/vt_clads2_0.6_0.4_0.015_1.0.json | -142.78 |  0.06 | -142.75 |  0.06
