"sigma" "alpha" "epsilon" "lambda" "f" "clads2_likelihood_est"
"1" 0.05 1 0 0.05 1 31.7951564120903
"2" 0.05 1 0.1 0.05 1 31.3658743949132
"3" 0.05 1 0.5 0.05 1 29.6219888716685
"4" 0.05 1 0.9 0.05 1 27.8367338756706
"5" 0.05 1 0 0.1 1 45.4997265756539
"6" 0.05 1 0.1 0.1 1 44.8717643055759
"7" 0.05 1 0.5 0.1 1 42.229740053868
"8" 0.05 1 0.9 0.1 1 39.3769054111944
"9" 0.05 1 0 0.15 1 50.5662780019583
"10" 0.05 1 0.1 0.15 1 49.9130520572342
"11" 0.05 1 0.5 0.15 1 47.026807496317
"12" 0.05 1 0.9 0.15 1 43.6421115376187
"13" 0.05 1 0 0.2 1 52.1010173103814
"14" 0.05 1 0.1 0.2 1 51.3903927183309
"15" 0.05 1 0.5 0.2 1 48.1877239535163
"16" 0.05 1 0.9 0.2 1 44.2218891973124
"17" 0.05 1 0 0.25 1 51.7053838351915
"18" 0.05 1 0.1 0.25 1 51.2531199856654
"19" 0.05 1 0.5 0.25 1 48.996372713958
"20" 0.05 1 0.9 0.25 1 45.4893818684734
"21" 0.05 1 0 0.3 1 50.0866562607578
"22" 0.05 1 0.1 0.3 1 49.8544169093344
"23" 0.05 1 0.5 0.3 1 48.4947157398801
"24" 0.05 1 0.9 0.3 1 45.4094934393192
"25" 0.05 1 0 0.35 1 47.615999434831
"26" 0.05 1 0.1 0.35 1 47.6306216126784
"27" 0.05 1 0.5 0.35 1 47.3553371693769
"28" 0.05 1 0.9 0.35 1 44.839722255615
"29" 0.05 1 0 0.4 1 44.5327923826044
"30" 0.05 1 0.1 0.4 1 44.8592444821507
"31" 0.05 1 0.5 0.4 1 45.97116574077
"32" 0.05 1 0.9 0.4 1 44.2460140412841
"33" 0.05 1 0 0.45 1 40.9779567851264
"34" 0.05 1 0.1 0.45 1 41.6097603073223
"35" 0.05 1 0.5 0.45 1 44.1583939690636
"36" 0.05 1 0.9 0.45 1 43.2513178134877
"37" 0.05 1 0 0.5 1 37.041364557701
"38" 0.05 1 0.1 0.5 1 38.0441810720034
"39" 0.05 1 0.5 0.5 1 42.2021930391292
"40" 0.05 1 0.9 0.5 1 42.1913277412782
"41" 0.05 1 0 0.55 1 32.8108376382966
"42" 0.05 1 0.1 0.55 1 34.1719472106918
"43" 0.05 1 0.5 0.55 1 40.1483344037124
"44" 0.05 1 0.9 0.55 1 41.2849621951507
"45" 0.05 1 0 0.6 1 28.3320599293652
"46" 0.05 1 0.1 0.6 1 30.0381531626534
"47" 0.05 1 0.5 0.6 1 38.016240264735
"48" 0.05 1 0.9 0.6 1 40.5166783833989
"49" 0.05 1 0 0.65 1 23.6375541211654
"50" 0.05 1 0.1 0.65 1 25.734410948897
"51" 0.05 1 0.5 0.65 1 35.6732867926503
"52" 0.05 1 0.9 0.65 1 39.5148362465517
"53" 0.05 1 0 0.7 1 18.768335163306
"54" 0.05 1 0.1 0.7 1 21.3021808683614
"55" 0.05 1 0.5 0.7 1 33.2975314356958
"56" 0.05 1 0.9 0.7 1 38.3204677448384
"57" 0.05 1 0 0.75 1 13.7467767626133
"58" 0.05 1 0.1 0.75 1 16.6362098203134
"59" 0.05 1 0.5 0.75 1 30.669988396756
"60" 0.05 1 0.9 0.75 1 37.3023591436758
"61" 0.05 1 0 0.8 1 8.59454223848236
"62" 0.05 1 0.1 0.8 1 11.9051710558442
"63" 0.05 1 0.5 0.8 1 28.3174570538924
"64" 0.05 1 0.9 0.8 1 36.450598766923
"65" 0.05 1 0 0.85 1 3.32456937042947
"66" 0.05 1 0.1 0.85 1 7.12877870110569
"67" 0.05 1 0.5 0.85 1 25.7156555403981
"68" 0.05 1 0.9 0.85 1 35.1869198428594
"69" 0.05 1 0 0.9 1 -2.05145771370742
"70" 0.05 1 0.1 0.9 1 2.27734704918373
"71" 0.05 1 0.5 0.9 1 22.9573366909042
"72" 0.05 1 0.9 0.9 1 33.74837545809
"73" 0.05 1 0 0.95 1 -7.52526922467052
"74" 0.05 1 0.1 0.95 1 -2.67801538264153
"75" 0.05 1 0.5 0.95 1 20.1113734119183
"76" 0.05 1 0.9 0.95 1 32.2997909275632
"77" 0.05 1 0 1 1 -13.073788102725
"78" 0.05 1 0.1 1 1 -8.90290072471132
"79" 0.05 1 0.5 1 1 14.270420977347
"80" 0.05 1 0.9 1 1 27.9809739050145
