File                                           |   birch_mean   |  birch_var
           ./output/vt_crbd_0.05_0.000001.json | -157.033 | 0.001
                ./output/vt_crbd_0.05_0.1.json | -157.422 | 0.001
                ./output/vt_crbd_0.05_0.5.json | -158.936 | 0.001
                ./output/vt_crbd_0.05_0.9.json | -160.500 | 0.001
           ./output/vt_crbd_0.15_0.000001.json | -138.250 | 0.003
                ./output/vt_crbd_0.15_0.1.json | -138.515 | 0.003
                ./output/vt_crbd_0.15_0.5.json | -140.157 | 0.002
                ./output/vt_crbd_0.15_0.9.json | -142.636 | 0.002
            ./output/vt_crbd_0.1_0.000001.json | -143.341 | 0.001
                 ./output/vt_crbd_0.1_0.1.json | -143.751 | 0.002
                 ./output/vt_crbd_0.1_0.5.json | -145.671 | 0.006
                 ./output/vt_crbd_0.1_0.9.json | -147.974 | 0.004
           ./output/vt_crbd_0.25_0.000001.json | -137.164 | 0.003
                ./output/vt_crbd_0.25_0.1.json | -136.749 | 0.008
                ./output/vt_crbd_0.25_0.5.json | -136.428 | 0.005
                ./output/vt_crbd_0.25_0.9.json | -138.458 | 0.005
            ./output/vt_crbd_0.2_0.000001.json | -136.738 | 0.001
                 ./output/vt_crbd_0.2_0.1.json | -136.683 | 0.003
                 ./output/vt_crbd_0.2_0.5.json | -137.614 | 0.002
                 ./output/vt_crbd_0.2_0.9.json | -139.901 | 0.003
           ./output/vt_crbd_0.35_0.000001.json | -141.224 | 0.006
                ./output/vt_crbd_0.35_0.1.json | -139.874 | 0.009
                ./output/vt_crbd_0.35_0.5.json | -136.618 | 0.005
                ./output/vt_crbd_0.35_0.9.json | -137.355 | 0.006
            ./output/vt_crbd_0.3_0.000001.json | -138.736 | 0.003
                 ./output/vt_crbd_0.3_0.1.json | -137.917 | 0.008
                 ./output/vt_crbd_0.3_0.5.json | -136.271 | 0.003
                 ./output/vt_crbd_0.3_0.9.json | -137.628 | 0.010
           ./output/vt_crbd_0.45_0.000001.json | -147.880 | 0.004
                ./output/vt_crbd_0.45_0.1.json | -145.447 | 0.006
                ./output/vt_crbd_0.45_0.5.json | -138.495 | 0.014
                ./output/vt_crbd_0.45_0.9.json | -137.294 | 0.036
            ./output/vt_crbd_0.4_0.000001.json | -144.332 | 0.005
                 ./output/vt_crbd_0.4_0.1.json | -142.431 | 0.002
                 ./output/vt_crbd_0.4_0.5.json | -137.394 | 0.009
                 ./output/vt_crbd_0.4_0.9.json | -137.179 | 0.014
           ./output/vt_crbd_0.55_0.000001.json | -156.055 | 0.005
                ./output/vt_crbd_0.55_0.1.json | -152.420 | 0.007
                ./output/vt_crbd_0.55_0.5.json | -141.292 | 0.028
                ./output/vt_crbd_0.55_0.9.json | -137.984 | 0.010
            ./output/vt_crbd_0.5_0.000001.json | -151.777 | 0.016
                 ./output/vt_crbd_0.5_0.1.json | -148.793 | 0.004
                 ./output/vt_crbd_0.5_0.5.json | -139.871 | 0.008
                 ./output/vt_crbd_0.5_0.9.json | -137.550 | 0.011
           ./output/vt_crbd_0.65_0.000001.json | -165.179 | 0.008
                ./output/vt_crbd_0.65_0.1.json | -160.363 | 0.006
                ./output/vt_crbd_0.65_0.5.json | -144.787 | 0.051
                ./output/vt_crbd_0.65_0.9.json | -138.765 | 0.038
            ./output/vt_crbd_0.6_0.000001.json | -160.480 | 0.006
                 ./output/vt_crbd_0.6_0.1.json | -156.252 | 0.007
                 ./output/vt_crbd_0.6_0.5.json | -143.038 | 0.010
                 ./output/vt_crbd_0.6_0.9.json | -138.424 | 0.017
           ./output/vt_crbd_0.75_0.000001.json | -175.098 | 0.006
                ./output/vt_crbd_0.75_0.1.json | -168.994 | 0.005
                ./output/vt_crbd_0.75_0.5.json | -148.754 | 0.016
                ./output/vt_crbd_0.75_0.9.json | -139.744 | 0.080
            ./output/vt_crbd_0.7_0.000001.json | -170.087 | 0.016
                 ./output/vt_crbd_0.7_0.1.json | -164.598 | 0.002
                 ./output/vt_crbd_0.7_0.5.json | -146.747 | 0.024
                 ./output/vt_crbd_0.7_0.9.json | -139.240 | 0.081
           ./output/vt_crbd_0.85_0.000001.json | -185.515 | 0.011
                ./output/vt_crbd_0.85_0.1.json | -178.114 | 0.008
                ./output/vt_crbd_0.85_0.5.json | -153.199 | 0.019
                ./output/vt_crbd_0.85_0.9.json | -140.971 | 0.044
            ./output/vt_crbd_0.8_0.000001.json | -180.236 | 0.006
                 ./output/vt_crbd_0.8_0.1.json | -173.445 | 0.001
                 ./output/vt_crbd_0.8_0.5.json | -150.960 | 0.014
                 ./output/vt_crbd_0.8_0.9.json | -140.361 | 0.057
           ./output/vt_crbd_0.95_0.000001.json | -196.380 | 0.003
                ./output/vt_crbd_0.95_0.1.json | -187.654 | 0.010
                ./output/vt_crbd_0.95_0.5.json | -157.658 | 0.011
            ./output/vt_crbd_0.9_0.000001.json | -190.842 | 0.004
                 ./output/vt_crbd_0.9_0.1.json | -182.800 | 0.008
                 ./output/vt_crbd_0.9_0.5.json | -155.241 | 0.025
                 ./output/vt_crbd_0.9_0.9.json | -141.560 | 0.037
              ./output/vt_crbd_1_0.000001.json | -201.918 | 0.012
                   ./output/vt_crbd_1_0.1.json | -192.559 | 0.006
                   ./output/vt_crbd_1_0.5.json | -159.993 | 0.033
                   ./output/vt_crbd_1_0.9.json | -142.771 | 0.062
