File                                           |   birch_mean   |  birch_var
           ./output/vt_crbd_0.05_0.000001.json | -157.033 | 0.001
                ./output/vt_crbd_0.05_0.1.json | -157.517 | 0.001
                ./output/vt_crbd_0.05_0.5.json | -159.419 | 0.001
                ./output/vt_crbd_0.05_0.9.json | -161.401 | 0.001
           ./output/vt_crbd_0.15_0.000001.json | -138.250 | 0.003
                ./output/vt_crbd_0.15_0.1.json | -138.690 | 0.003
                ./output/vt_crbd_0.15_0.5.json | -141.124 | 0.002
                ./output/vt_crbd_0.15_0.9.json | -144.555 | 0.002
            ./output/vt_crbd_0.1_0.000001.json | -143.341 | 0.001
                 ./output/vt_crbd_0.1_0.1.json | -143.897 | 0.002
                 ./output/vt_crbd_0.1_0.5.json | -146.453 | 0.006
                 ./output/vt_crbd_0.1_0.9.json | -149.452 | 0.003
           ./output/vt_crbd_0.25_0.000001.json | -137.164 | 0.003
                ./output/vt_crbd_0.25_0.1.json | -136.948 | 0.008
                ./output/vt_crbd_0.25_0.5.json | -137.609 | 0.005
                ./output/vt_crbd_0.25_0.9.json | -140.959 | 0.004
            ./output/vt_crbd_0.2_0.000001.json | -136.739 | 0.001
                 ./output/vt_crbd_0.2_0.1.json | -136.873 | 0.003
                 ./output/vt_crbd_0.2_0.5.json | -138.704 | 0.002
                 ./output/vt_crbd_0.2_0.9.json | -142.145 | 0.003
           ./output/vt_crbd_0.35_0.000001.json | -141.224 | 0.006
                ./output/vt_crbd_0.35_0.1.json | -140.080 | 0.009
                ./output/vt_crbd_0.35_0.5.json | -137.898 | 0.005
                ./output/vt_crbd_0.35_0.9.json | -140.271 | 0.007
            ./output/vt_crbd_0.3_0.000001.json | -138.736 | 0.003
                 ./output/vt_crbd_0.3_0.1.json | -138.120 | 0.008
                 ./output/vt_crbd_0.3_0.5.json | -137.511 | 0.003
                 ./output/vt_crbd_0.3_0.9.json | -140.358 | 0.010
           ./output/vt_crbd_0.45_0.000001.json | -147.880 | 0.004
                ./output/vt_crbd_0.45_0.1.json | -145.654 | 0.006
                ./output/vt_crbd_0.45_0.5.json | -139.828 | 0.013
                ./output/vt_crbd_0.45_0.9.json | -140.510 | 0.036
            ./output/vt_crbd_0.4_0.000001.json | -144.332 | 0.005
                 ./output/vt_crbd_0.4_0.1.json | -142.642 | 0.002
                 ./output/vt_crbd_0.4_0.5.json | -138.703 | 0.009
                 ./output/vt_crbd_0.4_0.9.json | -140.250 | 0.014
           ./output/vt_crbd_0.55_0.000001.json | -156.055 | 0.005
                ./output/vt_crbd_0.55_0.1.json | -152.630 | 0.007
                ./output/vt_crbd_0.55_0.5.json | -142.648 | 0.027
                ./output/vt_crbd_0.55_0.9.json | -141.430 | 0.011
            ./output/vt_crbd_0.5_0.000001.json | -151.777 | 0.016
                 ./output/vt_crbd_0.5_0.1.json | -149.002 | 0.004
                 ./output/vt_crbd_0.5_0.5.json | -141.222 | 0.009
                 ./output/vt_crbd_0.5_0.9.json | -140.886 | 0.012
           ./output/vt_crbd_0.65_0.000001.json | -165.179 | 0.008
                ./output/vt_crbd_0.65_0.1.json | -160.573 | 0.006
                ./output/vt_crbd_0.65_0.5.json | -146.152 | 0.051
                ./output/vt_crbd_0.65_0.9.json | -142.394 | 0.039
            ./output/vt_crbd_0.6_0.000001.json | -160.480 | 0.006
                 ./output/vt_crbd_0.6_0.1.json | -156.464 | 0.007
                 ./output/vt_crbd_0.6_0.5.json | -144.398 | 0.011
                 ./output/vt_crbd_0.6_0.9.json | -141.966 | 0.016
           ./output/vt_crbd_0.75_0.000001.json | -175.098 | 0.006
                ./output/vt_crbd_0.75_0.1.json | -169.203 | 0.005
                ./output/vt_crbd_0.75_0.5.json | -150.133 | 0.017
                ./output/vt_crbd_0.75_0.9.json | -143.522 | 0.077
            ./output/vt_crbd_0.7_0.000001.json | -170.087 | 0.016
                 ./output/vt_crbd_0.7_0.1.json | -164.810 | 0.002
                 ./output/vt_crbd_0.7_0.5.json | -148.122 | 0.023
                 ./output/vt_crbd_0.7_0.9.json | -142.948 | 0.076
           ./output/vt_crbd_0.85_0.000001.json | -185.515 | 0.011
                ./output/vt_crbd_0.85_0.1.json | -178.327 | 0.007
                ./output/vt_crbd_0.85_0.5.json | -154.582 | 0.019
                ./output/vt_crbd_0.85_0.9.json | -144.873 | 0.042
            ./output/vt_crbd_0.8_0.000001.json | -180.236 | 0.006
                 ./output/vt_crbd_0.8_0.1.json | -173.658 | 0.001
                 ./output/vt_crbd_0.8_0.5.json | -152.338 | 0.015
                 ./output/vt_crbd_0.8_0.9.json | -144.201 | 0.060
           ./output/vt_crbd_0.95_0.000001.json | -196.380 | 0.003
                ./output/vt_crbd_0.95_0.1.json | -187.866 | 0.009
                ./output/vt_crbd_0.95_0.5.json | -159.037 | 0.010
            ./output/vt_crbd_0.9_0.000001.json | -190.842 | 0.004
                 ./output/vt_crbd_0.9_0.1.json | -183.011 | 0.007
                 ./output/vt_crbd_0.9_0.5.json | -156.621 | 0.026
                 ./output/vt_crbd_0.9_0.9.json | -145.512 | 0.033
              ./output/vt_crbd_1_0.000001.json | -201.918 | 0.012
                   ./output/vt_crbd_1_0.1.json | -192.772 | 0.006
                   ./output/vt_crbd_1_0.5.json | -161.374 | 0.033
                   ./output/vt_crbd_1_0.9.json | -146.813 | 0.063
