File                                           |  rep | birch_mean   |  birch_var
./output/mesquite/crbd/output_0.05_0.0001.json |  10 | -157.027 | 0.001
   ./output/mesquite/crbd/output_0.05_0.1.json |  10 | -157.402 | 0.001
   ./output/mesquite/crbd/output_0.05_0.5.json |  10 | -158.899 | 0.002
   ./output/mesquite/crbd/output_0.05_0.9.json |  10 | -160.509 | 0.001
./output/mesquite/crbd/output_0.15_0.0001.json |  10 | -138.284 | 0.001
   ./output/mesquite/crbd/output_0.15_0.1.json |  10 | -138.555 | 0.002
   ./output/mesquite/crbd/output_0.15_0.5.json |  10 | -140.180 | 0.002
   ./output/mesquite/crbd/output_0.15_0.9.json |  10 | -142.656 | 0.002
 ./output/mesquite/crbd/output_0.1_0.0001.json |  10 | -143.321 | 0.001
    ./output/mesquite/crbd/output _0.1_0.1.json |  10 | -143.744 | 0.002
    ./output/mesquite/crbd/output_0.1_0.5.json |  10 | -145.699 | 0.002
    ./output/mesquite/crbd/output_0.1_0.9.json |  10 | -147.968 | 0.003
./output/mesquite/crbd/output_0.25_0.0001.json |  10 | -137.123 | 0.006
   ./output/mesquite/crbd/output_0.25_0.1.json |  10 | -136.687 | 0.005
   ./output/mesquite/crbd/output_0.25_0.5.json |  10 | -136.454 | 0.006
   ./output/mesquite/crbd/output_0.25_0.9.json |  10 | -138.444 | 0.005
 ./output/mesquite/crbd/output_0.2_0.0001.json |  10 | -136.710 | 0.002
    ./output/mesquite/crbd/output_0.2_0.1.json |  10 | -136.731 | 0.006
    ./output/mesquite/crbd/output_0.2_0.5.json |  10 | -137.549 | 0.006
    ./output/mesquite/crbd/output_0.2_0.9.json |  10 | -139.923 | 0.004
./output/mesquite/crbd/output_0.35_0.0001.json |  10 | -141.196 | 0.004
   ./output/mesquite/crbd/output_0.35_0.1.json |  10 | -139.893 | 0.003
   ./output/mesquite/crbd/output_0.35_0.5.json |  10 | -136.604 | 0.008
   ./output/mesquite/crbd/output_0.35_0.9.json |  10 | -137.323 | 0.009
 ./output/mesquite/crbd/output_0.3_0.0001.json |  10 | -138.752 | 0.004
    ./output/mesquite/crbd/output_0.3_0.1.json |  10 | -137.906 | 0.005
    ./output/mesquite/crbd/output_0.3_0.5.json |  10 | -136.277 | 0.006
    ./output/mesquite/crbd/output_0.3_0.9.json |  10 | -137.631 | 0.008
./output/mesquite/crbd/output_0.45_0.0001.json |  10 | -147.818 | 0.003
   ./output/mesquite/crbd/output_0.45_0.1.json |  10 | -145.449 | 0.009
   ./output/mesquite/crbd/output_0.45_0.5.json |  10 | -138.482 | 0.004
   ./output/mesquite/crbd/output_0.45_0.9.json |  10 | -137.343 | 0.013
 ./output/mesquite/crbd/output_0.4_0.0001.json |  10 | -144.307 | 0.005
    ./output/mesquite/crbd/output_0.4_0.1.json |  10 | -142.417 | 0.006
    ./output/mesquite/crbd/output_0.4_0.5.json |  10 | -137.345 | 0.007
    ./output/mesquite/crbd/output_0.4_0.9.json |  10 | -137.152 | 0.019
./output/mesquite/crbd/output_0.55_0.0001.json |  10 | -155.975 | 0.014
   ./output/mesquite/crbd/output_0.55_0.1.json |  10 | -152.380 | 0.009
   ./output/mesquite/crbd/output_0.55_0.5.json |  10 | -141.327 | 0.021
   ./output/mesquite/crbd/output_0.55_0.9.json |  10 | -137.903 | 0.020
 ./output/mesquite/crbd/output_0.5_0.0001.json |  10 | -151.796 | 0.004
    ./output/mesquite/crbd/output_0.5_0.1.json |  10 | -148.778 | 0.008
    ./output/mesquite/crbd/output_0.5_0.5.json |  10 | -139.740 | 0.003
    ./output/mesquite/crbd/output_0.5_0.9.json |  10 | -137.522 | 0.025
./output/mesquite/crbd/output_0.65_0.0001.json |  10 | -165.153 | 0.008
   ./output/mesquite/crbd/output_0.65_0.1.json |  10 | -160.391 | 0.004
   ./output/mesquite/crbd/output_0.65_0.5.json |  10 | -144.772 | 0.007
   ./output/mesquite/crbd/output_0.65_0.9.json |  10 | -138.747 | 0.033
 ./output/mesquite/crbd/output_0.6_0.0001.json |  10 | -160.523 | 0.007
    ./output/mesquite/crbd/output_0.6_0.1.json |  10 | -156.286 | 0.007
    ./output/mesquite/crbd/output_0.6_0.5.json |  10 | -142.983 | 0.016
    ./output/mesquite/crbd/output_0.6_0.9.json |  10 | -138.295 | 0.016
./output/mesquite/crbd/output_0.75_0.0001.json |  10 | -175.046 | 0.005
   ./output/mesquite/crbd/output_0.75_0.1.json |  10 | -168.926 | 0.007
   ./output/mesquite/crbd/output_0.75_0.5.json |  10 | -148.806 | 0.005
