"sigma" "alpha" "lambda" "likelihood_est"
"1" 1e-07 1 0.05 845.384019675867
"2" 1e-07 1 0.1 859.086685092665
"3" 1e-07 1 0.15 864.15888833591
"4" 1e-07 1 0.2 865.697600509464
"5" 1e-07 1 0.25 865.30015704889
"6" 1e-07 1 0.3 863.678053752709
"7" 1e-07 1 0.35 861.210824147526
"8" 1e-07 1 0.4 858.125015926262
"9" 1e-07 1 0.45 854.566756995954
"10" 1e-07 1 0.5 850.635822465688
"11" 1e-07 1 0.55 846.403377859818
"12" 1e-07 1 0.6 841.921969169507
"13" 1e-07 1 0.65 837.231500399713
"14" 1e-07 1 0.7 832.362989564325
"15" 1e-07 1 0.75 827.341025708933
"16" 1e-07 1 0.8 822.18543134306
"17" 1e-07 1 0.85 816.912419997553
"18" 1e-07 1 0.9 811.535422412752
"19" 1e-07 1 0.95 806.06568905086
"20" 1e-07 1 1 800.512737882487
