"sigma" "alpha" "epsilon" "lambda" "f" "likelihood_est"
"1" 1e-07 1 0 0.05 1 794.732905888554
"2" 1e-07 1 0.1 0.05 1 794.965432271952
"3" 1e-07 1 0.5 0.05 1 795.943783660299
"4" 1e-07 1 0.9 0.05 1 796.994463387698
"5" 1e-07 1 0 0.1 1 788.568834123933
"6" 1e-07 1 0.1 0.1 1 789.076158297369
"7" 1e-07 1 0.5 0.1 1 791.316401499215
"8" 1e-07 1 0.9 0.1 1 793.845147744029
"9" 1e-07 1 0 0.15 1 782.04945211389
"10" 1e-07 1 0.1 0.15 1 782.877125958922
"11" 1e-07 1 0.5 0.15 1 786.701906529244
"12" 1e-07 1 0.9 0.15 1 791.150121156961
"13" 1e-07 1 0 0.2 1 775.086828999379
"14" 1e-07 1 0.1 0.2 1 776.288768489077
"15" 1e-07 1 0.5 0.2 1 782.072970044401
"16" 1e-07 1 0.9 0.2 1 788.879248970997
"17" 1e-07 1 0 0.25 1 767.706504078233
"18" 1e-07 1 0.1 0.25 1 769.340722161272
"19" 1e-07 1 0.5 0.25 1 777.489347156791
"20" 1e-07 1 0.9 0.25 1 787.060341795347
"21" 1e-07 1 0 0.3 1 759.877721460604
"22" 1e-07 1 0.1 0.3 1 762.009421745856
"23" 1e-07 1 0.5 0.3 1 772.960247963107
"24" 1e-07 1 0.9 0.3 1 785.676012335504
"25" 1e-07 1 0 0.35 1 751.547557731377
"26" 1e-07 1 0.1 0.35 1 754.253605257188
"27" 1e-07 1 0.5 0.35 1 768.48047685773
"28" 1e-07 1 0.9 0.35 1 784.70491966699
"29" 1e-07 1 0 0.4 1 742.75075334834
"30" 1e-07 1 0.1 0.4 1 746.109057912925
"31" 1e-07 1 0.5 0.4 1 764.088907626396
"32" 1e-07 1 0.9 0.4 1 784.164859062664
"33" 1e-07 1 0 0.45 1 733.380933031463
"34" 1e-07 1 0.1 0.45 1 737.491566891964
"35" 1e-07 1 0.5 0.45 1 759.750671356486
"36" 1e-07 1 0.9 0.45 1 784.026884360042
"37" 1e-07 1 0 0.5 1 723.483140380053
"38" 1e-07 1 0.1 0.5 1 728.444967073499
"39" 1e-07 1 0.5 0.5 1 755.503822597108
"40" 1e-07 1 0.9 0.5 1 784.315998234375
"41" 1e-07 1 0 0.55 1 712.994789746257
"42" 1e-07 1 0.1 0.55 1 718.924323998806
"43" 1e-07 1 0.5 0.55 1 751.337818337672
"44" 1e-07 1 0.9 0.55 1 761.718138732993
"45" 1e-07 1 0 0.6 1 701.881672620288
"46" 1e-07 1 0.1 0.6 1 708.909681962787
"47" 1e-07 1 0.5 0.6 1 747.258004336787
"48" 1e-07 1 0.9 0.6 1 733.62799672835
"49" 1e-07 1 0 0.65 1 690.155064325544
"50" 1e-07 1 0.1 0.65 1 698.412633295936
"51" 1e-07 1 0.5 0.65 1 726.227381551708
"52" 1e-07 1 0.9 0.65 1 713.332667607513
"53" 1e-07 1 0 0.7 1 677.69998437346
"54" 1e-07 1 0.1 0.7 1 687.3590107069
"55" 1e-07 1 0.5 0.7 1 710.521279198117
"56" 1e-07 1 0.9 0.7 1 690.588320585121
"57" 1e-07 1 0 0.75 1 664.5821303571
"58" 1e-07 1 0.1 0.75 1 675.785961081619
"59" 1e-07 1 0.5 0.75 1 682.541235028599
"60" 1e-07 1 0.9 0.75 1 680.263322233076
"61" 1e-07 1 0 0.8 1 650.534930212731
"62" 1e-07 1 0.1 0.8 1 663.610532069913
"63" 1e-07 1 0.5 0.8 1 672.203897641074
"64" 1e-07 1 0.9 0.8 1 652.750862121963
"65" 1e-07 1 0 0.85 1 636.914182603783
"66" 1e-07 1 0.1 0.85 1 645.417883618125
"67" 1e-07 1 0.5 0.85 1 649.814232650845
"68" 1e-07 1 0.9 0.85 1 563.924676401032
"69" 1e-07 1 0 0.9 1 620.420348099045
"70" 1e-07 1 0.1 0.9 1 628.688840147183
"71" 1e-07 1 0.5 0.9 1 637.268222546778
"72" 1e-07 1 0.9 0.9 1 541.203450864385
"73" 1e-07 1 0 0.95 1 604.899415885617
"74" 1e-07 1 0.1 0.95 1 610.748105634652
"75" 1e-07 1 0.5 0.95 1 611.261122660672
"76" 1e-07 1 0.9 0.95 1 516.837532210938
"77" 1e-07 1 0 1 1 586.914047402637
"78" 1e-07 1 0.1 1 1 591.357003492665
"79" 1e-07 1 0.5 1 1 547.628635748832
"80" 1e-07 1 0.9 1 1 471.364845055321
