File                                         |   mean  |  var
             ./output/vt_bamm/vt_bamm_1.json | -142.01 |  0.03
            ./output/vt_bamm/vt_bamm_10.json | -154.55 |  0.03
             ./output/vt_bamm/vt_bamm_2.json | -144.24 |  0.03
             ./output/vt_bamm/vt_bamm_3.json | -146.49 |  0.02
             ./output/vt_bamm/vt_bamm_4.json | -148.49 |  0.01
             ./output/vt_bamm/vt_bamm_5.json | -149.85 |  0.02
             ./output/vt_bamm/vt_bamm_6.json | -151.18 |  0.02
             ./output/vt_bamm/vt_bamm_7.json | -152.23 |  0.02
             ./output/vt_bamm/vt_bamm_8.json | -153.07 |  0.01
             ./output/vt_bamm/vt_bamm_9.json | -153.91 |  0.01
