File                                         |   birch_mean  |  birch_var
           ./output/vt_lsbds/vt_lsbds_1.json | -142.01 |  0.02
          ./output/vt_lsbds/vt_lsbds_10.json | -154.46 |  0.03
           ./output/vt_lsbds/vt_lsbds_2.json | -144.29 |  0.03
           ./output/vt_lsbds/vt_lsbds_3.json | -146.45 |  0.03
           ./output/vt_lsbds/vt_lsbds_4.json | -148.35 |  0.03
           ./output/vt_lsbds/vt_lsbds_5.json | -149.98 |  0.03
           ./output/vt_lsbds/vt_lsbds_6.json | -151.17 |  0.02
           ./output/vt_lsbds/vt_lsbds_7.json | -152.18 |  0.04
           ./output/vt_lsbds/vt_lsbds_8.json | -153.12 |  0.03
           ./output/vt_lsbds/vt_lsbds_9.json | -153.92 |  0.02
